hteam,ateam,hfinal,afinal
New York,Toronto,0,2
Orlando City,Salt Lake,2,2
Chicago,New York City FC,3,4
FC Dallas,Philadelphia,2,0
Houston,New England,3,3
San Jose,Colorado,1,0
Portland,Columbus,2,1
Vancouver,Montreal,2,3
Seattle,Kansas City,0,1
L.A. Galaxy,DC United,4,1
Orlando City,Chicago,1,1
New England,DC United,0,0
Colorado,L.A. Galaxy,1,0
Salt Lake,Seattle,2,1
Columbus,Philadelphia,1,2
Montreal,New York,3,0
Kansas City,Vancouver,2,1
New York City FC,Toronto,2,2
Houston,FC Dallas,5,0
San Jose,Portland,2,1
New York City FC,Orlando City,0,1
Chicago,Columbus,0,0
New York,Houston,4,3
FC Dallas,Montreal,2,0
Seattle,Vancouver,1,2
L.A. Galaxy,San Jose,3,1
Portland,Salt Lake,2,2
Kansas City,Toronto,1,0
DC United,Colorado,1,1
Philadelphia,New England,3,0
New York City FC,New England,1,1
DC United,FC Dallas,0,3
Vancouver,Houston,1,0
Orlando City,Portland,4,1
New England,New York,1,0
Chicago,Philadelphia,1,0
Vancouver,L.A. Galaxy,0,0
Kansas City,Salt Lake,1,2
FC Dallas,Columbus,1,1
Colorado,Toronto,1,0
Seattle,Montreal,1,0
San Jose,DC United,1,1
L.A. Galaxy,Portland,1,1
New York City FC,Chicago,0,0
Philadelphia,Orlando City,2,1
New England,Toronto,1,1
Montreal,Columbus,2,0
DC United,Vancouver,4,0
New York,Kansas City,0,2
FC Dallas,San Jose,2,2
Salt Lake,Colorado,1,0
Houston,Seattle,1,1
Kansas City,Colorado,1,2
San Jose,New York,2,0
Portland,FC Dallas,1,3
Houston,L.A. Galaxy,1,4
Chicago,Montreal,1,2
DC United,Toronto,0,1
Columbus,New York City FC,3,2
Colorado,New York,2,1
Salt Lake,Vancouver,1,0
Seattle,Philadelphia,2,1
Portland,San Jose,3,1
Orlando City,New England,2,2
FC Dallas,Kansas City,2,1
New York,Orlando City,3,2
Vancouver,FC Dallas,3,0
DC United,New England,3,0
Philadelphia,New York City FC,2,0
Montreal,Toronto,0,2
Columbus,Houston,1,0
Colorado,Seattle,3,1
L.A. Galaxy,Salt Lake,5,2
San Jose,Kansas City,1,0
Kansas City,L.A. Galaxy,1,1
Vancouver,Kansas City,1,1
New York City FC,Montreal,1,1
New England,Portland,1,1
New York,FC Dallas,4,0
New York City FC,Vancouver,3,2
Seattle,Columbus,1,0
Philadelphia,San Jose,1,1
Montreal,Colorado,2,2
Chicago,DC United,1,1
New England,Orlando City,2,2
Portland,Toronto,2,1
Salt Lake,Houston,2,1
DC United,New York City FC,0,2
L.A. Galaxy,New England,4,2
Seattle,San Jose,2,0
Colorado,Salt Lake,1,0
Columbus,Montreal,4,4
Houston,Kansas City,2,0
Vancouver,Portland,2,1
Orlando City,New York,1,1
Toronto,FC Dallas,1,0
Portland,New York City FC,1,2
Philadelphia,L.A. Galaxy,2,2
Colorado,Kansas City,1,0
FC Dallas,Portland,2,1
Vancouver,Chicago,2,1
San Jose,Houston,3,1
DC United,New York,2,0
Montreal,Philadelphia,1,1
Toronto,Vancouver,3,4
New England,Chicago,2,0
Columbus,Colorado,1,1
FC Dallas,Seattle,2,0
Houston,Salt Lake,1,0
Kansas City,Orlando City,2,1
Orlando City,Philadelphia,2,2
L.A. Galaxy,San Jose,1,1
Toronto,New York City FC,1,1
New York,Chicago,1,0
Philadelphia,DC United,1,0
New York City FC,New York,0,7
Chicago,Houston,1,0
Toronto,Columbus,0,0
Orlando City,Montreal,2,1
New England,FC Dallas,2,4
Kansas City,Salt Lake,1,3
Seattle,Colorado,0,1
Portland,Vancouver,4,2
Kansas City,DC United,0,1
Vancouver,Houston,1,1
New York,Toronto,3,0
New England,Seattle,2,1
Columbus,Salt Lake,4,3
Montreal,L.A. Galaxy,3,2
Chicago,Portland,1,1
Colorado,Philadelphia,1,1
San Jose,FC Dallas,0,0
New York City FC,Orlando City,2,2
Philadelphia,Columbus,3,2
DC United,Seattle,0,2
Portland,San Jose,1,0
New York City FC,Salt Lake,2,3
FC Dallas,Houston,1,1
L.A. Galaxy,Kansas City,0,0
New York City FC,Philadelphia,3,2
Vancouver,New England,1,2
Toronto,L.A. Galaxy,1,0
Columbus,Montreal,0,0
Orlando City,San Jose,2,2
Colorado,Chicago,2,1
Houston,DC United,0,0
Salt Lake,Portland,2,2
Kansas City,FC Dallas,2,0
New York,Seattle,2,0
Philadelphia,Chicago,4,3
Salt Lake,New York,2,1
L.A. Galaxy,Colorado,0,0
Seattle,New York City FC,0,2
Philadelphia,Vancouver,2,3
DC United,New England,2,0
Montreal,Kansas City,2,2
Columbus,New York,1,1
Orlando City,Toronto,3,2
FC Dallas,Salt Lake,2,0
San Jose,L.A. Galaxy,1,1
Portland,Houston,3,2
Chicago,San Jose,1,0
Salt Lake,DC United,1,1
Montreal,New England,3,2
Toronto,Seattle,1,1
Houston,Philadelphia,1,0
New York City FC,New York,2,0
Kansas City,Columbus,3,2
Colorado,Portland,0,0
FC Dallas,Orlando City,4,0
L.A. Galaxy,Vancouver,2,0
New England,New York City FC,0,1
Orlando City,Houston,0,0
San Jose,FC Dallas,0,1
Seattle,L.A. Galaxy,0,1
Philadelphia,DC United,3,0
New England,Columbus,3,1
Toronto,Chicago,1,0
Salt Lake,Montreal,1,1
Vancouver,Colorado,2,2
New York,Portland,0,0
Kansas City,New York City FC,3,1
Philadelphia,New York,2,2
Columbus,Toronto,1,1
New York,Orlando City,2,0
Chicago,Kansas City,1,0
Seattle,FC Dallas,5,0
Portland,Montreal,1,1
Vancouver,Salt Lake,2,0
L.A. Galaxy,Houston,1,0
Columbus,DC United,1,1
FC Dallas,Chicago,3,1
Colorado,Kansas City,1,0
Salt Lake,New England,0,0
Vancouver,Orlando City,2,2
San Jose,Toronto,2,1
Portland,Seattle,3,1
Montreal,New York City FC,1,3
Salt Lake,San Jose,1,1
Portland,L.A. Galaxy,1,2
Toronto,DC United,4,1
Montreal,Philadelphia,5,1
Columbus,Orlando City,2,2
New England,Chicago,1,0
Colorado,FC Dallas,1,1
Houston,Vancouver,0,0
New York,New York City FC,4,1
Kansas City,Seattle,3,0
New York City FC,Colorado,5,1
Kansas City,Portland,1,0
Seattle,L.A. Galaxy,1,1
FC Dallas,Vancouver,2,0
DC United,Montreal,1,1
Chicago,New York,2,2
Philadelphia,Salt Lake,1,2
Toronto,Columbus,3,0
Orlando City,New England,3,1
Houston,San Jose,1,1
Toronto,Salt Lake,1,0
San Jose,New York City FC,0,0
DC United,Philadelphia,2,2
Toronto,New England,4,1
Montreal,Houston,1,0
Colorado,Vancouver,2,0
Salt Lake,Chicago,3,1
Portland,Kansas City,3,0
Orlando City,Seattle,1,3
L.A. Galaxy,New York,2,2
Vancouver,San Jose,1,2
New York,Montreal,3,1
New England,Philadelphia,0,4
DC United,Portland,2,0
Columbus,New York City FC,3,3
FC Dallas,Kansas City,2,2
L.A. Galaxy,Colorado,1,1
Chicago,Orlando City,2,2
Seattle,Salt Lake,2,1
Houston,Toronto,1,1
